strategy,symbol,date,entry_time,exit_time,direction,setup,entry,stop,risk_pct,target_r,partial_hit,exit_reason,pnl_r
Jason Berry,ES=F,2026-07-24,10:55,10:55,long,OR breakout + EMA trend,7465.0,7448.8625,0.216,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-05-13,10:50,11:55,long,OR breakout + EMA trend,29309.75,29240.8,0.235,1.0,True,breakeven,0.5
Jason Berry,NQ=F,2026-05-14,10:40,10:55,long,OR breakout + EMA trend,29686.25,29644.55,0.14,1.0,True,breakeven,0.5
Jason Berry,NQ=F,2026-05-15,10:15,11:50,long,OR breakout + EMA trend,29349.0,29230.2625,0.405,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-05-18,10:30,10:30,short,OR breakdown + EMA trend,29024.5,29162.7143,0.476,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-05-19,10:05,10:05,short,OR breakdown + EMA trend,28792.75,28913.875,0.421,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-05-20,10:25,10:25,long,OR breakout + EMA trend,29209.75,29134.2,0.259,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-05-21,10:05,10:05,long,OR breakout + EMA trend,29321.0,29274.8875,0.157,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-05-22,10:15,10:15,short,OR breakdown + EMA trend,29549.75,29591.3,0.141,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-05-26,10:10,11:05,long,OR breakout + EMA trend,30028.25,29976.6,0.172,1.0,True,breakeven,0.5
Jason Berry,NQ=F,2026-05-27,10:25,10:35,short,OR breakdown + EMA trend,29916.0,29987.1125,0.238,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-05-28,10:10,10:10,long,OR breakout + EMA trend,30161.25,30074.4107,0.288,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-05-29,10:35,10:35,short,OR breakdown + EMA trend,30349.25,30401.95,0.174,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-06-01,11:20,12:10,long,OR breakout + EMA trend,30478.25,30438.9,0.129,1.0,True,breakeven,0.5
Jason Berry,NQ=F,2026-06-02,10:05,10:20,long,OR breakout + EMA trend,30611.75,30572.6125,0.128,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-06-04,10:05,10:10,short,OR breakdown + EMA trend,30185.0,30232.6625,0.158,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-06-05,11:10,15:50,short,OR breakdown + EMA trend,29727.75,29819.25,0.308,1.0,True,time,3.772
Jason Berry,NQ=F,2026-06-08,10:35,11:30,long,OR breakout + EMA trend,29586.25,29512.9125,0.248,1.0,True,breakeven,0.5
Jason Berry,NQ=F,2026-06-09,10:10,10:10,short,OR breakdown + EMA trend,29491.0,29604.1161,0.384,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-06-10,10:20,10:20,long,OR breakout + EMA trend,29217.75,29073.85,0.493,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-06-11,10:55,10:55,short,OR breakdown + EMA trend,28648.25,28740.6375,0.322,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-06-12,10:05,10:40,long,OR breakout + EMA trend,29578.25,29429.625,0.502,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-06-15,11:00,11:35,long,OR breakout + EMA trend,30803.25,30761.7625,0.135,1.0,True,breakeven,0.5
Jason Berry,NQ=F,2026-06-16,10:20,10:40,short,OR breakdown + EMA trend,30713.25,30792.5875,0.258,1.0,True,breakeven,0.5
Jason Berry,NQ=F,2026-06-17,14:00,14:00,short,OR breakdown + EMA trend,30177.0,30263.1161,0.285,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-06-18,10:20,10:25,long,OR breakout + EMA trend,30623.25,30557.9375,0.213,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-06-22,10:05,10:15,long,OR breakout + EMA trend,30949.75,30883.775,0.213,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-06-23,10:05,10:40,long,OR breakout + EMA trend,29975.5,29881.0,0.315,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-06-24,10:55,11:05,long,OR breakout + EMA trend,29891.0,29774.75,0.389,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-06-26,10:05,11:15,long,OR breakout + EMA trend,29571.5,29425.6518,0.493,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-06-29,10:05,10:25,short,OR breakdown + EMA trend,29497.75,29619.2,0.412,1.0,True,breakeven,0.5
Jason Berry,NQ=F,2026-06-30,10:20,10:50,long,OR breakout + EMA trend,30411.0,30312.6,0.324,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-07-01,10:05,10:30,long,OR breakout + EMA trend,30296.75,30236.0125,0.2,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-07-02,10:25,10:25,short,OR breakdown + EMA trend,29935.0,30081.7125,0.49,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-07-06,10:10,11:10,long,OR breakout + EMA trend,30021.75,29959.875,0.206,1.0,False,stop,-1.0
Jason Berry,NQ=F,2026-07-07,10:10,11:10,short,OR breakdown + EMA trend,29343.0,29451.9911,0.371,1.0,True,breakeven,0.5
